;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;Tres nkn schampoing;0.0;0.0;0.00017203209566630056;0.0;0.0;0.0;0.0;0.0;2.7283890054186687e-05;0.0;5.769691509308368e-05;5.2752959142785234e-05;0.0;0.00016446047444679558;0.0;0.0;6.290883041958833e-05;0.00024411921848916502;3.0997470552264927e-05;0.00017257261297031168
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.00035537935749727155;8.764416152698004e-05;0.00020103555554842374;0.0007836827345564493;0.0;0.00019102768698214996;0.0007442365694733071;0.00044607804858481643;0.0011640317120166224;0.0;0.0008348570844489474;0.0;0.0;0.00043501934399012943;3.2155403545802514e-05;0.0;0.0;0.0005283076759151616;0.0;0.0025162371723337494
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.0003209010526481964;0.0;0.00035259428139566677;0.0030276959481531566;0.0008231770727258876;0.001672549351465439;0.001062327130177475;0.0;0.007559376022117627;0.06658551385716194;0.011221781804336162;0.007909500306923651;0.004654077577719301;0.004002521569509919;0.06464024431486419;0.00048727942001229027;0.0026291454473992065;0.010384985469117432;0.007539327639010994;0.027881008523032914
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.00115842223912119;0.0002522667328176254;0.05058023259568641;0.006516414160738876;0.0;0.0008145752027309504;0.0027168113306155336;0.054915445706422907;0.004031051479156735;0.003583064132763605;0.001691289633157495;0.0015807547049212385;0.003542080477589666;0.021747149949280797;0.0;0.0011653257503155224;0.009189911531920412;0.002714704702228834;0.015339720597412706;0.0
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0;0.0;0.0;0.053753864035277904;0.0;0.05565988132470952;0.0;0.0;0.0;0.0;0.0;0.06750167218663529;0.002449477727186075;0.0;0.013394093385254956;0.0;0.0;0.0;0.0;0.06286307470904552
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0003404023040405093;0.0;0.0016232758577445906;0.0006641661787064496;5.761944765837185e-05;0.0015524948536169809;0.002609593278774661;0.0;0.0005891027495242943;0.001232726829207078;0.0;0.0;0.0016413473475718238;0.004798188070109099;0.0;0.0016256819613442147;0.0028034818803673567;0.00806038550394;0.01043241876415662;0.011252117386101308
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.00027402577357749455;8.723806439123074e-05;0.0;0.008555695532245841;0.00011027748547176838;8.057024533226256e-05;0.0012170735280680198;0.0;0.0026553427240008204;0.003520795488257723;0.014873289767822574;0.0;0.0019452942348768586;0.0;0.0031272463286138156;0.0;0.003740370942898002;0.04087927873525077;0.0015616626944113833;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.00016419008275994848;0.0;0.1130938013494205;0.00308072548593294;0.0;0.0008364828008049359;0.0019256268455224098;0.0;0.002083223207663955;0.002954397214240744;0.0;0.0017410791222862167;0.0;0.017851268894520173;0.019910080183534937;0.22100536123077513;0.006622888702874757;0.0;0.0;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.00038789462115073334;0.0;0.008667818349203892;0.015210181454731029;0.0;0.0012824315457685754;0.0;0.0016401765426713325;0.0;0.0005116702500043978;0.0;0.0;0.0061279209077061735;0.0;0.0;0.0;0.005786986123796608;0.0;0.020522797286948394;0.024239806740902956
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00017934789109673368;0.0;7.687499682432066e-05;0.007823010507945883;0.0;0.0001660674582419292;3.707174753381824e-05;0.0;0.00016475493634629583;0.0003298680283319909;0.003977366679795584;0.00021711112141836703;0.0005297131436246885;0.01387300794813149;0.0;0.001270508097711111;0.0;0.0012725317130060636;0.0;0.007834538905926346
