;documents;0;1;2;3;4;5;6;7
0;Tres nkn schampoing;0.0;0.0;0.0001773780034521212;0.0001211202027283483;8.986928650801354e-07;1.1598622989674342e-05;0.0;0.0
1;TRÉS UTILES POUR LES PERSONNES CONCERNÉS.;0.0003637078210887308;0.0001464062561400705;0.00014099214945484801;0.002056182099009364;0.0;0.00018960935336407946;0.0008365126375352361;0.00026231859799916916
2;Le produit est efficace après trois applications en suivant les instructions sur la boîte. J'ai des cheveux quasiment entièrement blanc. Le résultat est naturel. L'application est simple, le produit ne sent pas mauvais comme les couleurs. Il s'applique facilement. Le temps de pose est court. Cela tache quand même le carrelage et la douche donc il faut bien rincer au moment.;0.0007795312245563413;0.0003882964779896355;0.0005243622715998928;0.05210701646176779;0.0025874772464456043;0.002380152142472823;0.0035855208105931755;0.0
3;Avec la gamme Absolut Repair de L'Oréal votre chevelure est douce, renforcée et protégée. Son odeur est délicate et sophistiquée et les textures crémeuses et non grasses. Un soin professionnel accessible depuis chez soi, je suis conquise !;0.001441235890699651;0.0006027146709717199;0.05120803420922773;0.01455416569269976;0.0;0.001029510573899508;0.003694119338048519;0.048631983602370775
4;Application simple et rapide et laisse une belle sensation sur la pea. De suite, le tient est unifié. Pour le cote matifiant, n est pas infaillible mais rien ne l est quand on a pas la peau un peu grasse. J'en suis plus que satisfaite.;0.0007295966440690239;0.0;0.0;0.061424792591847584;0.002134055915456832;0.060972393487863354;0.0;5.656356880193026e-05
5;Habitué des crèmes L'Oréal, je n'ai que été très rarement déçu.;0.0006838236625061623;0.0005295087339636264;0.001907060629144671;0.009132796355488472;0.0007468022978591033;0.0023062729225419303;0.003396207981156579;0.0
6;Ce modèle est particulièrement agréable, une crème blanche assez pâteuse mais qui pénètre rapidement.;0.0006056320873830223;0.00044643373079950705;0.0;0.019616086748039555;0.004106574797905001;7.148068882309317e-05;0.0020305957397890643;0.0
7;Son odeur est très agréable (plus que la plupart des autres soins L'Oréal) et son application à la pompe très pratique.;0.0005775993279393048;0.0006981055348132127;0.11957945211146488;0.030360870762790065;0.0;0.0010853894060658268;0.005583268244086913;0.0
8;Elle pourra laisser un léger film gras si on en applique trop, mais rien de désagréable.;0.0001849907912796181;0.0;0.007994229533303034;0.02739677363003026;0.0;0.0010390044139027869;0.0;6.017292798471246e-06
9;Ensuite son effet anti-âge, on va considérer ça comme toute les crèmes, elle a un réel effet hydratant mais on sait tous que les effets anti rides sont plus marketing qu'autre chose.;0.00019860471384771364;9.88377601546122e-06;0.0;0.013672484043754827;0.0;0.0;0.0;0.0
10;N'en reste pas moins une crème super agréable;0.0;0.00034856587762861595;0.0;0.0011660336717931004;0.0;1.784168074161331e-05;0.0;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0005103128404195637;0.0015288143503723712;0.002189636731523451;0.0031666988681074326;0.0;0.00018146510874701377;0.0;0.00035324960714408726
12;remplit sa fonction;0.00018210414100930424;0.00013590722877917976;4.796743620394519e-05;0.0022594387734363856;0.0002823591776234918;0.0;0.0;0.0006930820617175416
13;Très bien pour le connaître depuis longtemps;0.001345327892828206;0.0007950661879243009;2.09074438115345e-05;0.0082525668973051;0.002513771460694301;0.0027010725604427435;0.0;0.0
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0005999021623533684;0.0009674443566273785;0.0;0.005683764970842473;0.0014126329241615006;0.001306525528301368;0.0006529438438889;0.00023792119698804362
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.0006287471735551161;0.002199196975742529;0.0;0.025704694682776398;0.0011046120201246266;0.0015913317127483934;0.0011552126848388697;0.004146909971831712
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0007417647011344967;4.1708160052960124e-05;0.0003358913697657093;0.0017916057007809798;7.277658586487186e-05;0.0009667307920089905;0.0015064122762696959;0.001198516675061651
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;0.00030609588312486885;0.0002604523707712359;0.00025400944440605186;0.006729022453079913;0.0;0.005480065914308224;0.0;0.0
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.271561087267105e-163
